nombre_tienda,nombre_producto,nombre_categoria,nombre_marca,nombre_modelo,stock
Tienda Ancón,Bicicleta eléctrica urbana,Bicicletas,Monark,Urban Classic,12
Tienda Ate,Bicicleta plegable compacta,Bicicletas,Monark,Urban Classic,12
Tienda Barranco,Tornillos de titanio para bicicleta,Componentes,Kendall,Serie Deore XT,12
Tienda Breña,Porta celulares para bicicleta,Accesorios,Trek,Serie Accesorios Mini Pro,12
Tienda Carabayllo,Polo de ciclismo manga larga,Vestimenta,Kendall,Serie Reflectante UltraSafe,12
Tienda Chaclacayo,Chaleco cortavientos reflectante,Vestimenta,Kendall,Serie Reflectante UltraSafe,12
Tienda Chorrillos,Guantes de ciclismo antideslizantes,Herramientas,Kendall,Serie Accesorios Mini Pro,12
Tienda Cieneguilla,Tomatodo isotérmico 750ml,Accesorios,Trek,Serie Accesorios Mini Pro,12
Tienda Comas,Desarmador multifunción Pro,Componentes,Giant,Serie Herramientas 15 en 1,12
Tienda El Agustino,Asiento ergonómico premium,Componentes,Kendall,Serie Deore XT,12
Tienda Independencia,Pedales de aluminio reforzados,Componentes,Trek,Serie Deore XT,12
Tienda Jesús María,Cadena de acero templado,Componentes,Trek,Serie Deore XT,12
Tienda La Molina,Llanta de alta resistencia,Componentes,Kendall,MTB Kendall Pro,12
Tienda La Victoria,Kit de luces LED ultra brillantes,Accesorios,Trek,Serie Accesorios Mini Pro,12
Tienda Lince,Casco aerodinámico profesional,Accesorios,Trek,Serie Casco AirBreaker,12
Tienda Los Olivos,Bombín de alta presión portátil,Accesorios,Giant,Serie Accesorios Mini Pro,12
Tienda Lurigancho,Multiherramienta de ciclismo 22 en 1,Herramientas,Giant,Serie Herramientas 15 en 1,12
Tienda Lurín,Porta-caramañola de aluminio,Accesorios,Trek,Serie Accesorios Mini Pro,12
Tienda Magdalena del Mar,Computadora de ciclismo GPS,Accesorios,Trek,Serie Accesorios Mini Pro,12
Tienda Miraflores,Ropa interior acolchada para ciclista,Vestimenta,Kendall,Serie Reflectante UltraSafe,12
Tienda Pueblo Libre,Rodillera de protección para ciclismo,Vestimenta,Kendall,Serie Reflectante UltraSafe,12
Tienda Puente Piedra,Gafas polarizadas de ciclismo,Vestimenta,Kendall,Serie Accesorios Mini Pro,12
Tienda San Bartolo,Freno de disco hidráulico profesional,Componentes,Kendall,Serie Deore XT,12
Tienda San Borja,Lubricante premium para cadena,Squirt Cycling,Trek,Serie Lubricantes Squirt,12
